="",="year",="YOB",="GDR",="Total",="Male",="Female",="Obsv_Total",="Obsv_Male",="Obsv_Female"
="r1",=".",=".",=".",=".",=".",=".",=".",=".",="."
"9","2012","1995","1","8.93067","10.75515","7.004831","76","47","29"
"10","2012","1995","1","9.283196","9.610984","8.937198","79","42","37"
"11","2012","1995","1","8.225617","7.322654","9.178744","70","32","38"
"12","2012","1995","1","8.813161","9.839817","7.729469","75","43","32"
"1","2012","1996","1","8.316222","8.398438","8.225108","81","43","38"
"2","2012","1996","1","6.468172","7.617188","5.194805","63","39","24"
"3","2012","1996","1","7.494867","6.835938","8.225108","73","35","38"
"4","2012","1996","1","7.392197","8.789063","5.844156","72","45","27"
"5","2012","1996","1","8.110883","7.421875","8.874459","79","38","41"
"6","2012","1996","1","8.008214","8.789063","7.142857","78","45","33"
"7","2012","1996","1","8.726899","9.375","8.008658","85","48","37"
"8","2012","1996","1","9.650924","8.398438","11.03896","94","43","51"
"9","2012","1996","1","10.47228","10.74219","10.17316","102","55","47"
"10","2012","1996","1","8.829569","7.421875","10.38961","86","38","48"
"11","2012","1996","1","7.905544","8.398438","7.359307","77","43","34"
"12","2012","1996","1","8.62423","7.8125","9.52381","84","40","44"
"1","2012","1997","1","9.240246","9.980431","8.423326","90","51","39"
"2","2012","1997","1","7.494867","8.023483","6.911447","73","41","32"
"3","2012","1997","1","8.726899","9.393346","7.991361","85","48","37"
"4","2012","1997","1","9.753593","10.37182","9.071274","95","53","42"
"5","2012","1997","1","7.802875","6.457926","9.287257","76","33","43"
"6","2012","1997","1","8.829569","9.001957","8.639309","86","46","40"
"7","2012","1997","1","9.753593","9.197652","10.36717","95","47","48"
"8","2012","1997","1","6.468172","4.892368","8.207343","63","25","38"
"9","2012","1997","1","9.856263","10.56751","9.071274","96","54","42"
"10","2012","1997","1","8.932238","8.610568","9.287257","87","44","43"
"11","2012","1997","1","6.673511","7.436399","5.831533","65","38","27"
"12","2012","1997","1","6.468172","6.066536","6.911447","63","31","32"
"1","2012","1998","1","7.996051","7.364341","8.651911","81","38","43"
"2","2012","1998","1","7.798618","6.007752","9.657948","79","31","48"
"3","2012","1998","1","8.094768","9.302326","6.841046","82","48","34"
"4","2012","1998","1","6.614018","5.426357","7.847082","67","28","39"
"5","2012","1998","1","9.378085","9.496124","9.255533","95","49","46"
"6","2012","1998","1","7.305035","7.945736","6.639839","74","41","33"
"7","2012","1998","1","7.798618","7.945736","7.645875","79","41","38"
"8","2012","1998","1","10.85884","10.65891","11.0664","110","55","55"
"9","2012","1998","1","8.193485","8.527132","7.847082","83","44","39"
"10","2012","1998","1","8.489635","8.139535","8.853119","86","42","44"
"11","2012","1998","1","8.983218","9.883721","8.04829","91","51","40"
"12","2012","1998","1","8.489635","9.302326","7.645875","86","48","38"
"1","2012","1999","1","8.747698","8.551483","8.966862","95","49","46"
"2","2012","1999","1","8.103131","9.075044","7.017544","88","52","36"
"3","2012","1999","1","7.734807","7.155323","8.382066","84","41","43"
"4","2012","1999","1","8.655617","6.980803","10.52632","94","40","54"
"5","2012","1999","1","8.471455","7.853403","9.161793","92","45","47"
"6","2012","1999","1","6.721915","6.631763","6.822612","73","38","35"
"7","2012","1999","1","7.734807","8.900524","6.432749","84","51","33"
"8","2012","1999","1","8.563536","8.900524","8.187135","93","51","42"
"9","2012","1999","1","9.023941","8.726003","9.356725","98","50","48"
"10","2012","1999","1","10.31308","10.64572","9.94152","112","61","51"
"11","2012","1999","1","7.826888","8.027923","7.602339","85","46","39"
"12","2012","1999","1","8.103131","8.551483","7.602339","88","49","39"
"1","2012","2000","1","8.721934","7.679739","9.89011","101","47","54"
"2","2012","2000","1","9.671848","9.803922","9.52381","112","60","52"
"3","2012","2000","1","7.772021","7.843137","7.692308","90","48","42"
"4","2012","2000","1","9.153713","8.823529","9.52381","106","54","52"
"5","2012","2000","1","8.549223","7.51634","9.70696","99","46","53"
"6","2012","2000","1","6.217617","6.20915","6.227106","72","38","34"
"7","2012","2000","1","10.01727","9.803922","10.25641","116","60","56"
"8","2012","2000","1","8.80829","9.313725","8.241758","102","57","45"
"9","2012","2000","1","7.512953","8.823529","6.043956","87","54","33"
"10","2012","2000","1","8.721934","10.78431","6.410256","101","66","35"
"11","2012","2000","1","6.822107","5.882353","7.875458","79","36","43"
"12","2012","2000","1","8.031088","7.51634","8.608059","93","46","47"
"1","2012","2001","1","8.938053","9.473684","8.392857","101","54","47"
"2","2012","2001","1","7.610619","7.894737","7.321429","86","45","41"
"3","2012","2001","1","7.964602","7.719298","8.214286","90","44","46"
"4","2012","2001","1","8.584071","7.719298","9.464286","97","44","53"
"5","2012","2001","1","9.911504","10.17544","9.642857","112","58","54"
"6","2012","2001","1","7.876106","8.245614","7.5","89","47","42"
"7","2012","2001","1","8.40708","9.298246","7.5","95","53","42"
"8","2012","2001","1","8.849558","9.298246","8.392857","100","53","47"
"9","2012","2001","1","9.026549","9.824561","8.214286","102","56","46"
"10","2012","2001","1","8.053097","6.491228","9.642857","91","37","54"
"11","2012","2001","1","6.814159","7.017544","6.607143","77","40","37"
"12","2012","2001","1","7.964602","6.842105","9.107143","90","39","51"
"1","2012","2002","1","6.930693","6.83112","7.039337","70","36","34"
"2","2012","2002","1","8.316832","9.677419","6.832298","84","51","33"
"3","2012","2002","1","10","9.487666","10.55901","101","50","51"
"4","2012","2002","1","7.227723","7.969639","6.418219","73","42","31"
"5","2012","2002","1","7.128713","5.502846","8.902692","72","29","43"
"6","2012","2002","1","8.118812","8.159393","8.074534","82","43","39"
"7","2012","2002","1","10.09901","8.728653","11.5942","102","46","56"
"8","2012","2002","1","9.70297","9.487666","9.937888","98","50","48"
"9","2012","2002","1","9.70297","10.81594","8.488613","98","57","41"
"10","2012","2002","1","7.425743","7.969639","6.832298","75","42","33"
"11","2012","2002","1","8.316832","7.779886","8.902692","84","41","43"
"12","2012","2002","1","7.029703","7.590133","6.418219","71","40","31"
"1","2012","2003","1","7.839562","6.491228","9.297913","86","37","49"
"2","2012","2003","1","7.292616","9.122807","5.313093","80","52","28"
"3","2012","2003","1","8.113036","8.947368","7.210626","89","51","38"
"4","2012","2003","1","7.110301","7.017544","7.210626","78","40","38"
"5","2012","2003","1","7.383774","7.719298","7.020873","81","44","37"
"6","2012","2003","1","8.295351","6.842105","9.867173","91","39","52"
"7","2012","2003","1","10.20966","10","10.43643","112","57","55"
"8","2012","2003","1","9.206928","9.473684","8.918406","101","54","47"
"9","2012","2003","1","10.11851","10.52632","9.677419","111","60","51"
"10","2012","2003","1","9.024613","8.245614","9.867173","99","47","52"
"11","2012","2003","1","8.659982","8.421053","8.918406","95","48","47"
"12","2012","2003","1","6.74567","7.192982","6.26186","74","41","33"
"1","2012","2004","1","8.987784","9.515571","8.450704","103","55","48"
"2","2012","2004","1","7.766143","7.439446","8.098592","89","43","46"
"3","2012","2004","1","7.417103","7.439446","7.394366","85","43","42"
"4","2012","2004","1","8.551483","8.304498","8.802817","98","48","50"
"5","2012","2004","1","8.551483","8.131488","8.978873","98","47","51"
"6","2012","2004","1","8.551483","9.342561","7.746479","98","54","44"
"7","2012","2004","1","8.289703","8.650519","7.922535","95","50","45"
"8","2012","2004","1","9.511344","9.16955","9.859155","109","53","56"
"9","2012","2004","1","7.853403","8.823529","6.866197","90","51","39"
"10","2012","2004","1","7.504363","6.747405","8.274648","86","39","47"
"11","2012","2004","1","7.678883","7.785467","7.570423","88","45","43"
"12","2012","2004","1","9.336824","8.650519","10.03521","107","50","57"
"1","2012","2005","1","8.31793","9.747292","6.818182","90","54","36"
"2","2012","2005","1","6.746765","6.859206","6.628788","73","38","35"
"3","2012","2005","1","8.595194","7.581227","9.659091","93","42","51"
"4","2012","2005","1","9.61183","9.386282","9.848485","104","52","52"
"5","2012","2005","1","9.057301","9.927798","8.143939","98","55","43"
"6","2012","2005","1","8.225508","8.483755","7.954545","89","47","42"
"7","2012","2005","1","7.578558","7.761733","7.386364","82","43","39"
"8","2012","2005","1","10.25878","8.122744","12.5","111","45","66"
"9","2012","2005","1","7.763401","8.483755","7.007576","84","47","37"
"10","2012","2005","1","7.67098","7.220217","8.143939","83","40","43"
"11","2012","2005","1","8.040665","9.025271","7.007576","87","50","37"
"12","2012","2005","1","8.133087","7.400722","8.901515","88","41","47"
"1","2012","2006","1","6.616962","6.537102","6.706114","71","37","34"
"2","2012","2006","1","9.972041","10.95406","8.87574","107","62","45"
"3","2012","2006","1","7.735322","7.420495","8.086785","83","42","41"
"4","2012","2006","1","7.828518","7.95053","7.692308","84","45","39"
"5","2012","2006","1","9.599254","9.540636","9.664694","103","54","49"
"6","2012","2006","1","8.574091","9.540636","7.495069","92","54","38"
"7","2012","2006","1","8.760485","7.597173","10.05917","94","43","51"
"8","2012","2006","1","8.480895","7.597173","9.467456","91","43","48"
"9","2012","2006","1","8.574091","8.480565","8.678501","92","48","44"
"10","2012","2006","1","9.412861","10.24735","8.481262","101","58","43"
"11","2012","2006","1","7.082945","6.713781","7.495069","76","38","38"
"12","2012","2006","1","7.362535","7.420495","7.29783","79","42","37"
"1","2012","2007","1","8.156028","8.787346","7.513417","92","50","42"
"2","2012","2007","1","7.890071","7.205624","8.586762","89","41","48"
"3","2012","2007","1","8.599291","7.557118","9.660107","97","43","54"
"4","2012","2007","1","8.421986","6.678383","10.19678","95","38","57"
"5","2012","2007","1","8.067376","8.963093","7.155635","91","51","40"
"6","2012","2007","1","8.953901","10.36907","7.513417","101","59","42"
"7","2012","2007","1","9.574468","9.666081","9.481216","108","55","53"
"8","2012","2007","1","10.28369","10.54482","10.01789","116","60","56"
"9","2012","2007","1","9.042553","8.787346","9.302326","102","50","52"
"10","2012","2007","1","7.801418","8.435852","7.155635","88","48","40"
"11","2012","2007","1","6.826241","6.678383","6.976744","77","38","39"
"12","2012","2007","1","6.382979","6.326889","6.440072","72","36","36"
"1","2012","2008","1","7.651715","8.205128","7.065217","87","48","39"
"2","2012","2008","1","8.619173","8.547009","8.695652","98","50","48"
"3","2012","2008","1","7.739666","8.034188","7.427536","88","47","41"
"4","2012","2008","1","8.531223","8.717949","8.333333","97","51","46"
"5","2012","2008","1","8.003518","8.376068","7.608696","91","49","42"
"6","2012","2008","1","9.586631","9.401709","9.782609","109","55","54"
"7","2012","2008","1","8.26737","8.205128","8.333333","94","48","46"
"8","2012","2008","1","8.17942","8.205128","8.152174","93","48","45"
"9","2012","2008","1","9.498681","9.059829","9.963768","108","53","55"
"10","2012","2008","1","8.17942","9.230769","7.065217","93","54","39"
"11","2012","2008","1","7.915567","7.692308","8.152174","90","45","45"
"12","2012","2008","1","7.827617","6.324786","9.42029","89","37","52"
"1","2012","2009","1","7.820738","10.16949","5.291971","89","60","29"
"2","2012","2009","1","6.326889","6.101695","6.569343","72","36","36"
"3","2012","2009","1","8.084359","7.627119","8.576642","92","45","47"
"4","2012","2009","1","9.490334","8.305085","10.76642","108","49","59"
"5","2012","2009","1","10.36907","10.33898","10.40146","118","61","57"
"6","2012","2009","1","7.293497","8.135593","6.386861","83","48","35"
"7","2012","2009","1","9.841828","9.322034","10.40146","112","55","57"
"8","2012","2009","1","8.084359","7.457627","8.759124","92","44","48"
"9","2012","2009","1","8.699473","8.474576","8.941606","99","50","49"
"10","2012","2009","1","7.908612","6.779661","9.124088","90","40","50"
"11","2012","2009","1","8.084359","8.135593","8.029197","92","48","44"
"12","2012","2009","1","7.996485","9.152542","6.751825","91","54","37"
"1","2012","2010","1","8.061594","8.121827","7.992203","89","48","41"
"2","2012","2010","1","7.427536","7.106599","7.797271","82","42","40"
"3","2012","2010","1","8.242754","7.783418","8.77193","91","46","45"
"4","2012","2010","1","7.246377","7.614213","6.822612","80","45","35"
"5","2012","2010","1","8.695652","8.291032","9.161793","96","49","47"
"6","2012","2010","1","8.423913","8.798646","7.992203","93","52","41"
"7","2012","2010","1","10.05435","10.49069","9.551657","111","62","49"
"8","2012","2010","1","8.242754","9.306261","7.017544","91","55","36"
"9","2012","2010","1","10.14493","9.475465","10.91618","112","56","56"
"10","2012","2010","1","8.242754","8.798646","7.602339","91","52","39"
"11","2012","2010","1","7.880435","6.937394","8.966862","87","41","46"
"12","2012","2010","1","7.336957","7.275804","7.407407","81","43","38"
"1","2012","2011","1","8.746619","8.703072","8.795411","97","51","46"
"2","2012","2011","1","7.754734","6.65529","8.986616","86","39","47"
"3","2012","2011","1","9.017133","8.703072","9.369025","100","51","49"
"4","2012","2011","1","8.295762","8.703072","7.839388","92","51","41"
"5","2012","2011","1","9.377818","9.044369","9.751434","104","53","51"
"6","2012","2011","1","6.13165","4.948805","7.456979","68","29","39"
"7","2012","2011","1","8.926961","9.556314","8.221797","99","56","43"
"8","2012","2011","1","10.09919","10.06826","10.13384","112","59","53"
"9","2012","2011","1","7.754734","7.849829","7.648184","86","46","40"
"10","2012","2011","1","7.844905","8.191126","7.456979","87","48","39"
"11","2012","2011","1","7.033363","7.337884","6.692161","78","43","35"
"12","2012","2011","1","9.017133","10.23891","7.648184","100","60","40"
"1","2013","1953","1","8.854668","7.505071","10.07326","184","74","110"
"2","2013","1953","1","7.651588","8.31643","7.051282","159","82","77"
"3","2013","1953","1","8.614052","9.026369","8.241758","179","89","90"
"4","2013","1953","1","8.517806","8.21501","8.791209","177","81","96"
"5","2013","1953","1","8.902791","9.026369","8.791209","185","89","96"
"6","2013","1953","1","8.036574","8.72211","7.417582","167","86","81"
"7","2013","1953","1","8.229066","7.200811","9.157509","171","71","100"
"8","2013","1953","1","7.940327","8.72211","7.234432","165","86","79"
"9","2013","1953","1","8.758422","9.127789","8.424908","182","90","92"
"10","2013","1953","1","8.902791","8.51927","9.249084","185","84","101"
"11","2013","1953","1","8.325313","8.11359","8.516484","173","80","93"
"12","2013","1953","1","7.266603","7.505071","7.051282","151","74","77"
"1","2013","1954","1","7.857143","7.504873","8.193669","165","77","88"
"2","2013","1954","1","7.333333","7.212476","7.44879","154","74","80"
"3","2013","1954","1","8.714286","9.161793","8.286778","183","94","89"
"4","2013","1954","1","8.190476","7.602339","8.752328","172","78","94"
"5","2013","1954","1","9.952381","10.42885","9.497207","209","107","102"
"6","2013","1954","1","8.238095","8.2846","8.193669","173","85","88"
"7","2013","1954","1","9.142857","8.674464","9.590317","192","89","103"
"8","2013","1954","1","8.52381","8.187135","8.845438","179","84","95"
"9","2013","1954","1","8.52381","8.869396","8.193669","179","91","88"
"10","2013","1954","1","7.904762","8.576998","7.26257","166","88","78"
"11","2013","1954","1","8.047619","8.576998","7.541899","169","88","81"
"12","2013","1954","1","7.571429","6.920078","8.193669","159","71","88"
"1","2013","1955","1","8.780037","9.065156","8.506787","190","96","94"
"2","2013","1955","1","8.733826","9.537299","7.963801","189","101","88"
"3","2013","1955","1","8.687616","9.065156","8.325792","188","96","92"
"4","2013","1955","1","8.456562","8.876298","8.054299","183","94","89"
"5","2013","1955","1","8.225508","8.498584","7.963801","178","90","88"
"6","2013","1955","1","8.641405","8.687441","8.597285","187","92","95"
"7","2013","1955","1","8.872458","7.459868","10.22624","192","79","113"
"8","2013","1955","1","7.486137","7.932011","7.058824","162","84","78"
"9","2013","1955","1","8.826248","8.687441","8.959276","191","92","99"
"10","2013","1955","1","8.271719","8.309726","8.235294","179","88","91"
"11","2013","1955","1","7.347505","7.365439","7.330317","159","78","81"
"12","2013","1955","1","7.67098","6.515581","8.778281","166","69","97"
"1","2013","1956","1","7.623106","7.059961","8.163265","161","73","88"
"2","2013","1956","1","8.522727","9.090909","7.977737","180","94","86"
"3","2013","1956","1","9.375","9.284333","9.461967","198","96","102"
"4","2013","1956","1","8.191288","8.317215","8.070501","173","86","87"
"5","2013","1956","1","9.138258","9.284333","8.998145","193","96","97"
"6","2013","1956","1","7.765152","8.027079","7.513915","164","83","81"
"7","2013","1956","1","8.806818","8.800774","8.812616","186","91","95"
"8","2013","1956","1","8.42803","7.640232","9.183673","178","79","99"
"9","2013","1956","1","8.75947","8.60735","8.90538","185","89","96"
"10","2013","1956","1","8.285985","8.027079","8.534323","175","83","92"
"11","2013","1956","1","8.049242","8.123791","7.977737","170","84","86"
"12","2013","1956","1","7.054924","7.736944","6.400742","149","80","69"
"1","2013","1957","1","7.828162","8.860759","6.835206","164","91","73"
"2","2013","1957","1","7.494033","7.302824","7.677903","157","75","82"
"3","2013","1957","1","8.830549","8.276534","9.363296","185","85","100"
"4","2013","1957","1","9.02148","9.737098","8.333333","189","100","89"
"5","2013","1957","1","8.114558","7.594937","8.614232","170","78","92"
"6","2013","1957","1","8.162291","8.276534","8.052434","171","85","86"
"7","2013","1957","1","8.257757","7.205453","9.269663","173","74","99"
"8","2013","1957","1","7.97136","7.789679","8.146067","167","80","87"
"9","2013","1957","1","8.973747","9.055501","8.895131","188","93","95"
"10","2013","1957","1","9.403341","8.95813","9.831461","197","92","105"
"11","2013","1957","1","7.828162","8.568647","7.116105","164","88","76"
"12","2013","1957","1","8.114558","8.373905","7.865169","170","86","84"
"1","2013","1958","1","7.599226","7.44186","7.769929","157","80","77"
"2","2013","1958","1","7.889642","9.023256","6.659939","163","97","66"
"3","2013","1958","1","10.01936","9.860465","10.19173","207","106","101"
"4","2013","1958","1","8.470474","7.534884","9.485368","175","81","94"
"5","2013","1958","1","8.180058","8.930233","7.366297","169","96","73"
"6","2013","1958","1","6.679574","7.069767","6.256307","138","76","62"
"7","2013","1958","1","7.938045","6.790698","9.182644","164","73","91"
"8","2013","1958","1","9.196515","9.860465","8.476287","190","106","84"
"9","2013","1958","1","8.760891","8.372093","9.182644","181","90","91"
"10","2013","1958","1","7.405615","6.883721","7.971746","153","74","79"
"11","2013","1958","1","9.196515","9.302326","9.081736","190","100","90"
"12","2013","1958","1","8.664085","8.930233","8.375378","179","96","83"
"1","2013","1959","1","8.463252","8.614565","8.310992","190","97","93"
"2","2013","1959","1","7.305122","7.815275","6.791778","164","88","76"
"3","2013","1959","1","9.042316","7.992895","10.0983","203","90","113"
"4","2013","1959","1","7.839644","7.548845","8.132261","176","85","91"
"5","2013","1959","1","9.844098","9.591474","10.0983","221","108","113"
"6","2013","1959","1","8.953229","9.058615","8.847185","201","102","99"
"7","2013","1959","1","8.507795","7.904085","9.115282","191","89","102"
"8","2013","1959","1","7.839644","8.880995","6.791778","176","100","76"
"9","2013","1959","1","8.285078","8.170515","8.400357","186","92","94"
"10","2013","1959","1","7.66147","7.726465","7.596068","172","87","85"
"11","2013","1959","1","8.151448","8.081705","8.221626","183","91","92"
"12","2013","1959","1","8.106904","8.614565","7.596068","182","97","85"
"1","2013","1960","1","9.402852","9.427313","9.377818","211","107","104"
"2","2013","1960","1","8.868093","9.603524","8.115419","199","109","90"
"3","2013","1960","1","9.180036","8.722467","9.648332","206","99","107"
"4","2013","1960","1","7.130125","6.784141","7.48422","160","77","83"
"5","2013","1960","1","8.42246","8.193833","8.656447","189","93","96"
"6","2013","1960","1","8.600713","8.45815","8.746619","193","96","97"
"7","2013","1960","1","7.620321","7.22467","8.025248","171","82","89"
"8","2013","1960","1","8.467023","8.634361","8.295762","190","98","92"
"9","2013","1960","1","8.28877","9.162996","7.394049","186","104","82"
"10","2013","1960","1","8.333333","7.665198","9.017133","187","87","100"
"11","2013","1960","1","7.709447","8.370044","7.033363","173","95","78"
"12","2013","1960","1","7.976827","7.753304","8.205591","179","88","91"
"1","2013","1961","1","10.10726","9.463987","10.73171","245","113","132"
"2","2013","1961","1","7.838284","7.286432","8.373984","190","87","103"
"3","2013","1961","1","9.323432","9.380235","9.268293","226","112","114"
"4","2013","1961","1","8.044554","9.128978","6.99187","195","109","86"
"5","2013","1961","1","8.209571","8.458961","7.96748","199","101","98"
"6","2013","1961","1","7.425743","7.286432","7.560976","180","87","93"
"7","2013","1961","1","8.085809","8.458961","7.723577","196","101","95"
"8","2013","1961","1","7.343234","7.788945","6.910569","178","93","85"
"9","2013","1961","1","8.415842","8.123953","8.699187","204","97","107"
"10","2013","1961","1","8.952145","8.458961","9.430894","217","101","116"
"11","2013","1961","1","7.714521","7.788945","7.642276","187","93","94"
"12","2013","1961","1","8.539604","8.375209","8.699187","207","100","107"
"1","2013","1962","1","9.094617","9.136213","9.054487","223","110","113"
"2","2013","1962","1","7.585644","8.139535","7.051282","186","98","88"
"3","2013","1962","1","7.952692","7.30897","8.573718","195","88","107"
"4","2013","1962","1","9.461664","9.468439","9.455128","232","114","118"
"5","2013","1962","1","8.075041","7.30897","8.814103","198","88","110"
"6","2013","1962","1","7.381729","7.475083","7.291667","181","90","91"
"7","2013","1962","1","9.461664","10.38206","8.573718","232","125","107"
"8","2013","1962","1","8.482871","7.392027","9.535256","208","89","119"
"9","2013","1962","1","8.278956","9.053156","7.532051","203","109","94"
"10","2013","1962","1","7.952692","8.388704","7.532051","195","101","94"
"11","2013","1962","1","7.830343","7.724252","7.932692","192","93","99"
"12","2013","1962","1","8.442088","8.222591","8.653846","207","99","108"
"1","2013","1963","1","9.421208","8.890771","9.94941","223","105","118"
"2","2013","1963","1","7.984791","8.552075","7.419899","189","101","88"
"3","2013","1963","1","8.618504","8.128704","9.106239","204","96","108"
"4","2013","1963","1","8.576257","8.213378","8.937605","203","97","106"
"5","2013","1963","1","8.87199","8.806097","8.937605","210","104","106"
"6","2013","1963","1","7.64681","7.535986","7.757167","181","89","92"
"7","2013","1963","1","8.491762","8.467401","8.51602","201","100","101"
"8","2013","1963","1","8.196029","8.04403","8.347386","194","95","99"
"9","2013","1963","1","9.252218","9.229467","9.274874","219","109","110"
"10","2013","1963","1","8.322771","9.398815","7.251265","197","111","86"
"11","2013","1963","1","6.928602","7.281964","6.576728","164","86","78"
"12","2013","1963","1","7.689058","7.451312","7.925801","182","88","94"
"1","2013","1964","1","8.743409","8.495575","8.987784","199","96","103"
"2","2013","1964","1","8.523726","8.318584","8.726003","194","94","100"
"3","2013","1964","1","8.699473","8.584071","8.813264","198","97","101"
"4","2013","1964","1","8.523726","7.964602","9.075044","194","90","104"
"5","2013","1964","1","8.479789","8.849558","8.115183","193","100","93"
"6","2013","1964","1","7.293497","7.610619","6.980803","166","86","80"
"7","2013","1964","1","8.87522","9.20354","8.551483","202","104","98"
"8","2013","1964","1","8.919156","9.026549","8.813264","203","102","101"
"9","2013","1964","1","9.40246","9.911504","8.900524","214","112","102"
"10","2013","1964","1","7.557118","6.814159","8.289703","172","77","95"
"11","2013","1964","1","7.337434","8.40708","6.282723","167","95","72"
"12","2013","1964","1","7.644991","6.814159","8.464223","174","77","97"
"1","2013","1965","1","9.933775","9.991312","9.874327","225","115","110"
"2","2013","1965","1","7.726269","8.07993","7.360862","175","93","82"
"3","2013","1965","1","8.962472","9.035621","8.886894","203","104","99"
"4","2013","1965","1","8.300221","7.99305","8.617594","188","92","96"
"5","2013","1965","1","9.006623","9.122502","8.886894","204","105","99"
"6","2013","1965","1","8.432671","8.601216","8.258528","191","99","92"
"7","2013","1965","1","8.697572","7.558645","9.874327","197","87","110"
"8","2013","1965","1","8.211921","9.209383","7.181329","186","106","80"
"9","2013","1965","1","7.461369","7.211121","7.719928","169","83","86"
"10","2013","1965","1","7.726269","7.99305","7.450628","175","92","83"
"11","2013","1965","1","7.064018","6.863597","7.271095","160","79","81"
"12","2013","1965","1","8.476821","8.340573","8.617594","192","96","96"
"1","2013","1966","1","8.589512","7.792208","9.460738","190","90","100"
"2","2013","1966","1","7.866184","7.878788","7.852412","174","91","83"
"3","2013","1966","1","9.177215","8.658009","9.74456","203","100","103"
"4","2013","1966","1","9.810127","10.21645","9.366131","217","118","99"
"5","2013","1966","1","8.589512","7.359307","9.933775","190","85","105"
"6","2013","1966","1","8.273056","8.831169","7.663198","183","102","81"
"7","2013","1966","1","8.860759","8.658009","9.082308","196","100","96"
"8","2013","1966","1","7.775769","7.965368","7.56859","172","92","80"
"9","2013","1966","1","7.9566","9.004329","6.811731","176","104","72"
"10","2013","1966","1","7.278481","7.186147","7.379376","161","83","78"
"11","2013","1966","1","7.866184","8.571429","7.095553","174","99","75"
"12","2013","1966","1","7.9566","7.878788","8.041627","176","91","85"
"1","2013","1967","1","9.318293","9.003831","9.648241","190","94","96"
"2","2013","1967","1","8.925944","9.291188","8.542714","182","97","85"
"3","2013","1967","1","9.661599","8.524904","10.85427","197","89","108"
"4","2013","1967","1","9.073075","8.429119","9.748744","185","88","97"
"5","2013","1967","1","8.680726","9.003831","8.341709","177","94","83"
"6","2013","1967","1","7.601766","8.237548","6.934673","155","86","69"
"7","2013","1967","1","8.386464","8.141762","8.643216","171","85","86"
"8","2013","1967","1","8.288377","8.045977","8.542714","169","84","85"
"9","2013","1967","1","7.896027","7.854406","7.939698","161","82","79"
"10","2013","1967","1","7.945071","7.854406","8.040201","162","82","80"
"11","2013","1967","1","6.081412","6.51341","5.628141","124","68","56"
"12","2013","1967","1","8.141246","9.099617","7.135678","166","95","71"
"1","2013","1968","1","8.976299","8.308895","9.6875","178","85","93"
"2","2013","1968","1","10.18659","10.06843","10.3125","202","103","99"
"3","2013","1968","1","7.766011","8.406647","7.083333","154","86","68"
"4","2013","1968","1","7.665154","7.820137","7.5","152","80","72"
"5","2013","1968","1","9.480585","9.677419","9.270833","188","99","89"
"6","2013","1968","1","8.270298","8.308895","8.229167","164","85","79"
"7","2013","1968","1","8.774584","9.090909","8.4375","174","93","81"
"8","2013","1968","1","8.018154","7.820137","8.229167","159","80","79"
"9","2013","1968","1","7.917297","8.01564","7.8125","157","82","75"
"10","2013","1968","1","7.261725","6.84262","7.708333","144","70","74"
"11","2013","1968","1","8.472012","7.917889","9.0625","168","81","87"
"12","2013","1968","1","7.211296","7.722385","6.666667","143","79","64"
"1","2013","1969","1","8.319185","7.545045","9.101251","147","67","80"
"2","2013","1969","1","7.357102","7.432432","7.281001","130","66","64"
"3","2013","1969","1","10.18676","11.03604","9.328783","180","98","82"
"4","2013","1969","1","8.885116","9.572072","8.191126","157","85","72"
"5","2013","1969","1","8.828523","9.234234","8.418658","156","82","74"
"6","2013","1969","1","7.526882","6.869369","8.191126","133","61","72"
"7","2013","1969","1","9.394454","10.13514","8.646189","166","90","76"
"8","2013","1969","1","6.960951","7.094595","6.825939","123","63","60"
"9","2013","1969","1","9.394454","8.896396","9.897611","166","79","87"
"10","2013","1969","1","7.300509","7.77027","6.825939","129","69","60"
"11","2013","1969","1","7.640068","7.094595","8.191126","135","63","72"
"12","2013","1969","1","8.205999","7.31982","9.101251","145","65","80"
"1","2013","1970","1","7.692308","7.613169","7.776561","145","74","71"
"2","2013","1970","1","8.169761","8.436214","7.88609","154","82","72"
"3","2013","1970","1","9.602122","9.156379","10.07667","181","89","92"
"4","2013","1970","1","8.753316","9.36214","8.105148","165","91","74"
"5","2013","1970","1","8.541114","9.156379","7.88609","161","89","72"
"6","2013","1970","1","8.328912","9.053498","7.557503","157","88","69"
"7","2013","1970","1","8.328912","7.716049","8.98138","157","75","82"
"8","2013","1970","1","7.745358","7.81893","7.667032","146","76","70"
"9","2013","1970","1","8.806366","8.641975","8.98138","166","84","82"
"10","2013","1970","1","8.169761","7.098765","9.309967","154","69","85"
"11","2013","1970","1","6.737401","6.584362","6.900329","127","64","63"
"12","2013","1970","1","9.124668","9.36214","8.871851","172","91","81"
"1","2013","1971","1","9.168901","7.722772","10.87719","171","78","93"
"2","2013","1971","1","8.203753","7.623762","8.888889","153","77","76"
"3","2013","1971","1","9.115282","9.60396","8.538012","170","97","73"
"4","2013","1971","1","8.257373","9.009901","7.368421","154","91","63"
"5","2013","1971","1","8.579088","8.019802","9.239766","160","81","79"
"6","2013","1971","1","8.47185","8.118812","8.888889","158","82","76"
"7","2013","1971","1","8.364611","8.811881","7.836257","156","89","67"
"8","2013","1971","1","7.292225","7.623762","6.900585","136","77","59"
"9","2013","1971","1","8.257373","7.920792","8.654971","154","80","74"
"10","2013","1971","1","8.150134","8.613861","7.602339","152","87","65"
